state_slug,state_name,year,quarter,quarter_start_date,source_category,transaction_count,transaction_value_inr,source_file
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,1,2023-01-01,Retail,1254352,1108835637.0895226,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,1,2023-01-01,Utility,312565,161789897.6599417,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,2,2023-04-01,P2P,997058,3778615360.8951864,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,2,2023-04-01,Retail,1593082,1274082954.908365,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,2,2023-04-01,Utility,349028,183985465.1784634,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,3,2023-07-01,P2P,1138133,3867448704.7294426,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,3,2023-07-01,Utility,360081,194132309.93837917,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,3,2023-07-01,Retail,1795799,1368002212.5437598,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,4,2023-10-01,P2P,1353803,4549122187.262817,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,4,2023-10-01,Retail,2204624,1759268239.2394202,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,4,2023-10-01,Utility,362786,230332035.0154667,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2023/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,1,2024-01-01,P2P,1467728,4890201738.765525,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,1,2024-01-01,Retail,2483253,1954703577.178416,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,1,2024-01-01,Utility,377365,228179716.7951702,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,2,2024-04-01,P2P,1548283,5162158154.0415325,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,2,2024-04-01,Retail,2830230,2072879652.7262447,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,2,2024-04-01,Utility,417077,260225403.35229686,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,3,2024-07-01,P2P,1730844,5302737435.265448,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,3,2024-07-01,Utility,434919,292707590.3251203,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,3,2024-07-01,Retail,3128743,2070761616.0674696,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,4,2024-10-01,P2P,1988874,6136436300.439975,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,4,2024-10-01,Retail,3637868,2481524882.9257965,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,4,2024-10-01,Utility,453059,316771541.97845095,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2024/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,1,2025-01-01,P2P,2042168,6340234515.915836,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,1,2025-01-01,Retail,3813109,2502525496.556294,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,1,2025-01-01,Utility,476805,319382590.4770886,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/1.json
