state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
assam,Assam,2021,4,2021-10-01,178337,data/aggregated/merchant/country/india/state/assam/2021/4.json
assam,Assam,2022,1,2022-01-01,254792,data/aggregated/merchant/country/india/state/assam/2022/1.json
assam,Assam,2022,2,2022-04-01,312828,data/aggregated/merchant/country/india/state/assam/2022/2.json
assam,Assam,2022,3,2022-07-01,375732,data/aggregated/merchant/country/india/state/assam/2022/3.json
assam,Assam,2022,4,2022-10-01,428380,data/aggregated/merchant/country/india/state/assam/2022/4.json
assam,Assam,2023,1,2023-01-01,468585,data/aggregated/merchant/country/india/state/assam/2023/1.json
assam,Assam,2023,2,2023-04-01,498188,data/aggregated/merchant/country/india/state/assam/2023/2.json
assam,Assam,2023,3,2023-07-01,538577,data/aggregated/merchant/country/india/state/assam/2023/3.json
assam,Assam,2023,4,2023-10-01,574112,data/aggregated/merchant/country/india/state/assam/2023/4.json
assam,Assam,2024,1,2024-01-01,611691,data/aggregated/merchant/country/india/state/assam/2024/1.json
assam,Assam,2024,2,2024-04-01,645880,data/aggregated/merchant/country/india/state/assam/2024/2.json
assam,Assam,2024,3,2024-07-01,683854,data/aggregated/merchant/country/india/state/assam/2024/3.json
assam,Assam,2024,4,2024-10-01,725330,data/aggregated/merchant/country/india/state/assam/2024/4.json
assam,Assam,2025,1,2025-01-01,761966,data/aggregated/merchant/country/india/state/assam/2025/1.json
assam,Assam,2025,2,2025-04-01,794454,data/aggregated/merchant/country/india/state/assam/2025/2.json
assam,Assam,2025,3,2025-07-01,832239,data/aggregated/merchant/country/india/state/assam/2025/3.json
assam,Assam,2025,4,2025-10-01,886076,data/aggregated/merchant/country/india/state/assam/2025/4.json
assam,Assam,2026,1,2026-01-01,925132,data/aggregated/merchant/country/india/state/assam/2026/1.json
assam,Assam,2026,2,2026-04-01,984328,data/aggregated/merchant/country/india/state/assam/2026/2.json
bihar,Bihar,2018,1,2018-01-01,2,data/aggregated/merchant/country/india/state/bihar/2018/1.json
bihar,Bihar,2018,2,2018-04-01,4,data/aggregated/merchant/country/india/state/bihar/2018/2.json
bihar,Bihar,2018,3,2018-07-01,79,data/aggregated/merchant/country/india/state/bihar/2018/3.json
bihar,Bihar,2018,4,2018-10-01,780,data/aggregated/merchant/country/india/state/bihar/2018/4.json
bihar,Bihar,2019,1,2019-01-01,47091,data/aggregated/merchant/country/india/state/bihar/2019/1.json
bihar,Bihar,2019,2,2019-04-01,136642,data/aggregated/merchant/country/india/state/bihar/2019/2.json
bihar,Bihar,2019,3,2019-07-01,192625,data/aggregated/merchant/country/india/state/bihar/2019/3.json
bihar,Bihar,2019,4,2019-10-01,237558,data/aggregated/merchant/country/india/state/bihar/2019/4.json
bihar,Bihar,2020,1,2020-01-01,287792,data/aggregated/merchant/country/india/state/bihar/2020/1.json
bihar,Bihar,2020,2,2020-04-01,310562,data/aggregated/merchant/country/india/state/bihar/2020/2.json
bihar,Bihar,2020,3,2020-07-01,376344,data/aggregated/merchant/country/india/state/bihar/2020/3.json
