date,year,month,quarter,payment_mode,volume_lakh,value_crore,source_resource_id
2020-07-18,2020,7,Q3,UPI,462.3,8380.13,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-19,2020,7,Q3,IMPS,47.37,3415.28,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-19,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,59.47,2084.74,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-19,2020,7,Q3,UPI,410.87,5766.61,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-20,2020,7,Q3,IMPS,72.5,7248.83,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-20,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,91.46,3617.8,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-20,2020,7,Q3,UPI,461.25,8829.0,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-21,2020,7,Q3,IMPS,70.65,7070.64,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-21,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,86.5,3431.82,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-21,2020,7,Q3,UPI,437.49,8301.25,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-22,2020,7,Q3,IMPS,71.29,7124.26,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-22,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,89.81,3541.99,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-22,2020,7,Q3,UPI,496.81,9735.93,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-23,2020,7,Q3,IMPS,69.01,6874.02,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-23,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,81.02,3184.41,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-23,2020,7,Q3,UPI,470.34,8878.82,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-24,2020,7,Q3,IMPS,71.25,7238.9,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-24,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,88.17,3453.29,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-24,2020,7,Q3,UPI,483.32,9348.16,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-25,2020,7,Q3,IMPS,64.02,5730.15,1f9367ac-01b0-4c82-83a1-4069d4340667
