state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
arunachal-pradesh,Arunachal Pradesh,2019,4,2019-10-01,146946,data/aggregated/user/country/india/state/arunachal-pradesh/2019/4.json
arunachal-pradesh,Arunachal Pradesh,2020,1,2020-01-01,169049,data/aggregated/user/country/india/state/arunachal-pradesh/2020/1.json
arunachal-pradesh,Arunachal Pradesh,2020,2,2020-04-01,198449,data/aggregated/user/country/india/state/arunachal-pradesh/2020/2.json
arunachal-pradesh,Arunachal Pradesh,2020,3,2020-07-01,228945,data/aggregated/user/country/india/state/arunachal-pradesh/2020/3.json
arunachal-pradesh,Arunachal Pradesh,2020,4,2020-10-01,257285,data/aggregated/user/country/india/state/arunachal-pradesh/2020/4.json
arunachal-pradesh,Arunachal Pradesh,2021,1,2021-01-01,279538,data/aggregated/user/country/india/state/arunachal-pradesh/2021/1.json
arunachal-pradesh,Arunachal Pradesh,2021,2,2021-04-01,303657,data/aggregated/user/country/india/state/arunachal-pradesh/2021/2.json
arunachal-pradesh,Arunachal Pradesh,2021,3,2021-07-01,327708,data/aggregated/user/country/india/state/arunachal-pradesh/2021/3.json
arunachal-pradesh,Arunachal Pradesh,2021,4,2021-10-01,353110,data/aggregated/user/country/india/state/arunachal-pradesh/2021/4.json
arunachal-pradesh,Arunachal Pradesh,2022,1,2022-01-01,378277,data/aggregated/user/country/india/state/arunachal-pradesh/2022/1.json
arunachal-pradesh,Arunachal Pradesh,2022,2,2022-04-01,406742,data/aggregated/user/country/india/state/arunachal-pradesh/2022/2.json
arunachal-pradesh,Arunachal Pradesh,2022,3,2022-07-01,436558,data/aggregated/user/country/india/state/arunachal-pradesh/2022/3.json
arunachal-pradesh,Arunachal Pradesh,2022,4,2022-10-01,465208,data/aggregated/user/country/india/state/arunachal-pradesh/2022/4.json
arunachal-pradesh,Arunachal Pradesh,2023,1,2023-01-01,493307,data/aggregated/user/country/india/state/arunachal-pradesh/2023/1.json
arunachal-pradesh,Arunachal Pradesh,2023,2,2023-04-01,521967,data/aggregated/user/country/india/state/arunachal-pradesh/2023/2.json
arunachal-pradesh,Arunachal Pradesh,2023,3,2023-07-01,552339,data/aggregated/user/country/india/state/arunachal-pradesh/2023/3.json
arunachal-pradesh,Arunachal Pradesh,2023,4,2023-10-01,584620,data/aggregated/user/country/india/state/arunachal-pradesh/2023/4.json
arunachal-pradesh,Arunachal Pradesh,2024,1,2024-01-01,623413,data/aggregated/user/country/india/state/arunachal-pradesh/2024/1.json
arunachal-pradesh,Arunachal Pradesh,2024,2,2024-04-01,670071,data/aggregated/user/country/india/state/arunachal-pradesh/2024/2.json
arunachal-pradesh,Arunachal Pradesh,2024,3,2024-07-01,712965,data/aggregated/user/country/india/state/arunachal-pradesh/2024/3.json
